,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
2528,53.5076283919408,24.8807182731041,16635.0,1.6353784107819336e+18,6.925023161457306e+16,20121202.0,10.6631484472246,11.588,0.016,10.873,0.013,7.42810860486813,0.40927165852116854,0.15
2576,54.9632593190688,25.1946736053535,,1.6353784107819336e+18,6.859334213656845e+16,20121203.0,8.72782167720514,99.999,9.999,99.999,9.999,7.27354760495022,0.4436942418823474,0.15
2596,55.4007682128103,25.6191446403769,17245.0,1.6353784107819336e+18,7.010846915956045e+16,20121203.0,9.89911405957995,10.718,0.024,10.136,0.042,7.66231277203274,0.4167186234846872,0.15
2662,55.0240549596,26.1961664290933,,1.6353784107819336e+18,7.094138357730739e+16,20121324.0,10.9421577165338,12.002,0.006,11.219,0.067,7.87457364325021,0.38447771278366555,0.15
2663,55.149525988078,26.1512253790433,,1.6353784107819336e+18,7.019024533796237e+16,20121324.0,10.8968499378125,11.835,0.0,11.129,0.072,6.64349910986498,0.3907476776771846,0.15
2707,55.9514763419749,25.004197730221,,1.6353784107819336e+18,6.987671272433946e+16,20121203.0,11.357827482403,12.484,0.031,11.687,0.043,7.39360755210632,0.4249401597097072,0.15
2709,55.9518131679941,25.1898745166224,,1.6353784107819336e+18,6.988341287331482e+16,20121203.0,10.5451838303237,11.75,0.017,10.94,0.039,7.73394336463892,0.4380164421979266,0.15
2713,55.8067779323034,25.2699421068013,,1.6353784107819336e+18,6.989646957389222e+16,20121203.0,11.8495211642658,13.243,0.006,12.313,0.045,7.42504134061814,0.4553021264376634,0.15
2716,55.8631124193435,25.3873999604383,,1.6353784107819336e+18,6.990409743580467e+16,20121203.0,11.1098037692825,12.304,0.006,11.49,0.058,7.45053153039247,0.4479516427571975,0.15
2719,56.2668071888134,25.2576595458774,,1.6353784107819336e+18,6.984087551721318e+16,20121203.0,10.4816318563096,11.459,0.034,10.785,0.05,6.7686578661557,0.6347448656513407,0.15
2720,56.3140612344327,25.2892891094172,,1.6353784107819336e+18,6.986430885877811e+16,20121203.0,10.9392703181418,12.066,0.043,11.285,0.053,7.42400984322965,0.7344556164143895,0.15
2722,56.4965089223029,25.3984028055622,17583.0,1.6353784107819336e+18,6.987203980065574e+16,20121203.0,8.02215832905407,99.999,9.999,99.999,9.999,7.56917541189082,0.4550019569314887,0.15
2724,56.1832048738555,25.4991026758997,,1.6353784107819336e+18,6.991763517271872e+16,20121203.0,11.7444435731744,13.0,0.037,12.083,0.017,6.88328799003866,0.41536551992864856,0.15
2727,56.4381093656837,25.5956148789284,,1.6353784107819336e+18,6.992223937840909e+16,20121203.0,9.93834402224316,10.755,0.036,10.168,0.053,6.6910092110704,0.40642367800874835,0.15
2744,56.1799853424123,25.8753351771818,,1.6353784107819336e+18,6.994581015892467e+16,20121325.0,11.3468949776464,12.649,0.233,11.695,0.052,7.25999241524564,0.589516135856219,0.15
2752,56.221030703735,26.1418105046394,,1.6353784107819336e+18,7.023487863752448e+16,20121325.0,12.012138366154,13.491,0.059,12.527,0.064,7.74936808490044,0.4105948838260387,0.15
2753,56.5396810901637,26.1386613347343,,1.6353784107819336e+18,7.004947348884211e+16,20121325.0,11.4232222381034,12.919,0.171,11.906,0.052,7.50321636638553,0.3938654229394715,0.15
2765,56.8370864639161,25.5256515514646,,1.6353784107819336e+18,6.996487981301325e+16,20121203.0,9.66329347739715,10.445,0.022,99.999,9.999,7.62621472604467,0.42079451930469586,0.15
